,MONTH,PRED,DEP_ENT,NET_SALES,BUDGET_AMOUNT
110,2023-03-01,4967512.8306408245,240_155,5939778.529999999,7183387.0
111,2023-04-01,5253948.940787188,240_155,5453369.359999999,9731791.0
112,2023-05-01,5256640.055387209,240_155,12676724.599999998,10834189.0
113,2023-06-01,5047650.194656436,240_155,15166230.92,12518042.0
114,2023-07-01,4934567.190996896,240_155,7945616.33,8322015.0
115,2023-08-01,5025937.727457109,240_155,15271677.42,5446687.0
116,2023-09-01,4921903.271469944,240_155,494185.2700000001,5373043.0
117,2023-10-01,4778574.427647125,240_155,,5376636.0
118,2023-11-01,4484442.608786348,240_155,,5295121.0
119,2023-12-01,4512367.052087034,240_155,,5313648.0
120,2023-01-01,5306695.346461703,250_155,2447080.58,5207904.0
121,2023-02-01,5777610.597536069,250_155,2383992.34,5919467.0
122,2023-03-01,5864851.276619819,250_155,3940945.16,5597480.0
123,2023-04-01,6168411.375844154,250_155,3402514.8000000003,7539094.0
124,2023-05-01,9275964.48462935,250_155,5102570.96,7872216.0
125,2023-06-01,10152792.492682084,250_155,7775198.389999999,9566028.0
126,2023-07-01,6260401.655012128,250_155,7465892.710000002,5706559.0
127,2023-08-01,8184888.417082143,250_155,1624892.67,5356667.0
128,2023-09-01,11055364.25462935,250_155,911217.3099999998,11681144.0
129,2023-10-01,13364854.94352056,250_155,,19007432.0
130,2023-11-01,10170787.951296015,250_155,,15204628.0
131,2023-12-01,8334810.599180504,250_155,,8479907.0
132,2023-01-01,22417.25804230374,250_165,-2676.4388415322856,44682.0
133,2023-02-01,10169.528914893624,250_165,-26077.655298870814,43345.0
134,2023-03-01,7125.035862888808,250_165,4612.897547683965,43345.0
135,2023-04-01,10805.051654744277,250_165,71894.33724275242,48558.0
136,2023-05-01,16109.873814441436,250_165,61415.926585095025,51334.0
137,2023-06-01,20941.466197091668,250_165,85823.0045910555,57321.0
138,2023-07-01,19599.862276098964,250_165,71346.73336019741,43424.0
139,2023-08-01,21091.6912935931,250_165,-35969.27907395193,43345.0
140,2023-09-01,25396.558432876074,250_165,126.19560019129702,43345.0
141,2023-10-01,33039.494399296855,250_165,,47260.0
142,2023-11-01,38291.565840883675,250_165,,60919.0
143,2023-12-01,33269.7195882607,250_165,,43578.0
144,2023-01-01,338264.2555365451,250_310,182222.07932614817,354587.0
145,2023-02-01,301829.59211113834,250_310,210454.73319187443,393009.0
146,2023-03-01,507635.40492635494,250_310,168508.59034033064,519049.0
147,2023-04-01,333481.21410451224,250_310,218007.09583283876,535490.0
148,2023-05-01,381688.5994684207,250_310,229656.41761772186,408393.0
149,2023-06-01,526376.6218669522,250_310,1108604.900663376,521029.0
150,2023-07-01,399195.67640746775,250_310,201632.07090723142,330669.0
151,2023-08-01,291202.35946411913,250_310,379084.4804270754,317266.0
152,2023-09-01,362867.4653187772,250_310,794.8644963422182,531251.0
153,2023-10-01,1359271.7285905876,250_310,,1250166.0
154,2023-11-01,690808.8979592175,250_310,,658167.0
155,2023-12-01,297859.5441757178,250_310,,249998.0
156,2023-01-01,3434.076044662026,260_155,2915.0000000000005,2800.0
157,2023-02-01,3745.208176906884,260_155,3338.9900000000002,2800.0
158,2023-03-01,4130.094243958064,260_155,6141.579999999999,2800.0
159,2023-04-01,5008.128347398186,260_155,3216.72,2800.0
160,2023-05-01,4177.909848680835,260_155,4063.0999999999995,2800.0
161,2023-06-01,5053.361379283366,260_155,2607.61,2800.0
162,2023-07-01,5158.351966296622,260_155,2526.11,2800.0
163,2023-08-01,4483.662179993366,260_155,18100.43,2800.0
164,2023-09-01,5029.059286680369,260_155,26.210000000000043,2800.0
165,2023-10-01,5513.25980580064,260_155,,2800.0
166,2023-11-01,5082.751051540592,260_155,,2800.0
167,2023-12-01,6154.648386665845,260_155,,2800.0
