,DEP_ENT,MONTH,NET_SALES
136,170_155,2019-05-01,3896907.2500000005
137,240_155,2017-01-01,4835069.390000001
138,210_165,2018-07-01,459029.35406097234
139,200_310,2020-01-01,254506.5293937539
140,200_155,2021-11-01,3826672.5100000002
141,250_155,2023-04-01,3402514.8000000003
142,220_310,2022-03-01,68433.2939787485
143,260_155,2019-04-01,4324.65
144,220_155,2017-05-01,352972.55000000005
145,240_155,2021-05-01,5873667.24
146,210_165,2021-11-01,401277.28303723386
147,250_165,2022-08-01,-947.672727272724
148,250_165,2020-04-01,10647.764419034775
149,170_155,2018-09-01,4005606.0100000002
150,170_155,2018-08-01,4319522.739999999
151,250_310,2017-11-01,491198.8717602635
152,200_310,2017-08-01,48363.95592020589
153,210_165,2018-12-01,999200.3000494399
154,160_155,2022-10-01,2745284.1799999997
155,160_155,2018-01-01,1931032.7200000002
156,260_155,2021-09-01,5790.54
157,250_165,2021-03-01,66151.19819646979
158,250_165,2021-08-01,58626.08360614466
159,160_155,2017-08-01,6268703.35
160,250_310,2018-06-01,316912.50074807485
161,250_310,2016-09-01,505605.1708612666
162,200_155,2023-01-01,1622113.5799999998
163,240_155,2019-11-01,4096456.73
164,250_310,2016-12-01,364885.0048205764
165,170_155,2016-12-01,2926362.79
166,200_155,2020-12-01,6080434.140000001
167,210_310,2021-08-01,126189.68445068093
168,250_155,2020-10-01,12711989.360000001
169,260_155,2022-09-01,5377.5199999999995
170,220_155,2020-03-01,4336910.399999999
171,210_155,2022-06-01,428054.3399999991
172,210_155,2019-06-01,4810160.59
173,250_155,2018-11-01,8357980.130000001
174,250_155,2021-09-01,8400478.02
175,210_165,2021-09-01,330331.72065712826
176,260_155,2021-03-01,6314.17
177,200_155,2017-07-01,2169368.17
178,210_310,2017-08-01,1871283.5852002907
179,250_155,2017-08-01,7275830.84
180,210_165,2017-04-01,725281.1882246038
181,200_310,2022-10-01,110217.05052277545
182,200_155,2020-08-01,3073121.31
183,210_165,2019-07-01,168884.07281356415
184,160_155,2016-05-01,3399714.5
185,170_155,2020-05-01,1359308.4100000004
186,220_155,2021-08-01,1280225.5199999998
187,200_310,2022-12-01,221944.7562233025
188,250_310,2018-12-01,308692.4836269831
189,240_155,2022-01-01,5012922.129999999
190,170_155,2021-11-01,5165607.750000001
191,200_155,2017-02-01,1311588.13
192,220_155,2017-07-01,-213444.67999999996
193,220_310,2018-09-01,557366.9080822866
194,250_165,2019-01-01,10917.917663223161
195,220_155,2017-04-01,746586.02
196,160_155,2016-10-01,1765562.4199999997
197,260_155,2023-07-01,2526.1099999999997
198,260_155,2023-02-01,3338.9900000000007
199,220_310,2020-05-01,-496.6563378251785
200,220_310,2018-05-01,-21323.374395758616
201,250_310,2023-05-01,229656.41761772183
202,260_155,2020-04-01,4010.8499999999995
203,250_165,2021-02-01,2069.7301498627558
204,250_155,2020-01-01,3083167.2499999995
205,250_155,2019-06-01,7361816.289999999
206,170_155,2019-01-01,4148781.4699999997
207,210_165,2016-10-01,1348092.3668032703
208,210_165,2016-04-01,1003713.6793008939
209,210_165,2017-11-01,1997976.0109775155
210,220_155,2022-08-01,-131668.79
211,200_310,2023-03-01,226862.76979742176
212,250_310,2022-03-01,431654.91477371356
213,200_155,2019-05-01,2333062.1799999992
214,250_155,2022-11-01,13245284.920000002
215,170_155,2016-03-01,3052080.8300000005
216,200_155,2020-10-01,2052590.7499999998
217,220_310,2022-01-01,-2184.4034536891677
218,220_310,2021-08-01,380260.2165196472
219,250_165,2023-09-01,-104044.24139167948
220,200_155,2017-08-01,2831195.0300000003
221,250_155,2019-04-01,4664345.78
222,240_155,2018-09-01,3920250.3
223,220_155,2016-05-01,324417.1
224,210_165,2018-02-01,442284.99467121024
225,250_155,2022-07-01,5023800.990000001
226,250_165,2021-05-01,25018.843313373047
227,210_155,2016-06-01,4313279.18
228,210_165,2018-04-01,1717235.498071614
229,250_155,2019-07-01,5256380.519999999
230,210_155,2023-09-01,2225876.9599999995
231,200_310,2022-11-01,442799.6323529412
232,170_155,2020-09-01,2632877.6100000003
233,250_165,2019-06-01,9254.460935458625
