,MONTH,PRED,DEP_ENT,Model,NET_SALES,BUDGET_AMOUNT
88,2023-05-01,820200.7562,220_155,ExtraTreesRegressor,1286710.9700000007,673519.0
89,2023-06-01,2099981.3582,220_155,ExtraTreesRegressor,98452.84999999999,212390.0
90,2023-07-01,-261514.4006,220_155,ExtraTreesRegressor,1561945.41,33860.0
91,2023-08-01,1690326.8604,220_155,ExtraTreesRegressor,,2515985.0
92,2023-09-01,4387748.4168,220_155,ExtraTreesRegressor,,449519.0
93,2023-10-01,704797.7032,220_155,ExtraTreesRegressor,,3600383.0
94,2023-11-01,2461282.4759,220_155,ExtraTreesRegressor,,2035012.0
95,2023-12-01,284390.503,220_155,ExtraTreesRegressor,,130069.0
96,2023-01-01,109707.2193,220_310,AdaBoostRegressor,34080.109233153744,114912.0
97,2023-02-01,162982.7047,220_310,AdaBoostRegressor,-3809.2797369994005,
98,2023-03-01,289754.422,220_310,AdaBoostRegressor,-14360.640883977896,35095.0
99,2023-04-01,200755.1036,220_310,AdaBoostRegressor,-965.6730769230767,261010.0
100,2023-05-01,21542.1241,220_310,AdaBoostRegressor,76550.8044280443,
101,2023-06-01,267543.8828,220_310,AdaBoostRegressor,-1226.7559020372141,281.0
102,2023-07-01,52488.5831,220_310,AdaBoostRegressor,134507.95531738253,
103,2023-08-01,292974.6537,220_310,AdaBoostRegressor,,
104,2023-09-01,51133.3346,220_310,AdaBoostRegressor,,276058.0
105,2023-10-01,297135.0933,220_310,AdaBoostRegressor,,
106,2023-11-01,49778.0862,220_310,AdaBoostRegressor,,309389.0
107,2023-12-01,295779.8449,220_310,AdaBoostRegressor,,35473.0
108,2023-01-01,5671693.6509,240_155,AdaBoostRegressor,4129765.07,5216550.0
109,2023-02-01,5548235.5243,240_155,AdaBoostRegressor,5235253.75,5333064.0
110,2023-03-01,5509901.8356,240_155,AdaBoostRegressor,5939778.529999999,7183387.0
111,2023-04-01,5552685.5311,240_155,AdaBoostRegressor,5453369.36,9731791.0
112,2023-05-01,5514351.8425,240_155,AdaBoostRegressor,12676724.6,10834189.0
113,2023-06-01,5557135.538,240_155,AdaBoostRegressor,15166230.920000002,12518042.0
114,2023-07-01,5518801.8494,240_155,AdaBoostRegressor,7945616.33,8322015.0
115,2023-08-01,5561585.5449,240_155,AdaBoostRegressor,,5446687.0
116,2023-09-01,5523251.8562,240_155,AdaBoostRegressor,,5373043.0
117,2023-10-01,5566035.5517,240_155,AdaBoostRegressor,,5376636.0
118,2023-11-01,5527701.8631,240_155,AdaBoostRegressor,,5295121.0
119,2023-12-01,5570485.5586,240_155,AdaBoostRegressor,,5313648.0
120,2023-01-01,5504215.9411,250_155,BayesianRidge,2447080.58,5207904.0
121,2023-02-01,6351196.9647,250_155,BayesianRidge,2383992.34,5919467.0
122,2023-03-01,6467582.9997,250_155,BayesianRidge,3940945.1599999997,5597480.0
123,2023-04-01,5640769.2305,250_155,BayesianRidge,3402514.8000000003,7539094.0
124,2023-05-01,7473878.0562,250_155,BayesianRidge,5102570.96,7872216.0
125,2023-06-01,8202670.0918,250_155,BayesianRidge,7775198.39,9566028.0
126,2023-07-01,6974655.0551,250_155,BayesianRidge,7465892.71,5706559.0
127,2023-08-01,8896322.266,250_155,BayesianRidge,,5356667.0
128,2023-09-01,10292086.8371,250_155,BayesianRidge,,11681144.0
129,2023-10-01,13762372.7563,250_155,BayesianRidge,,19007432.0
130,2023-11-01,9944849.278,250_155,BayesianRidge,,15204628.0
131,2023-12-01,5759815.4515,250_155,BayesianRidge,,8479907.0
132,2023-01-01,24744.7016,250_165,ARIMA,-2676.4388415322846,44682.0
133,2023-02-01,21660.9182,250_165,ARIMA,-26077.655298870814,43345.0
134,2023-03-01,21516.4523,250_165,ARIMA,4612.897547683965,43345.0
135,2023-04-01,21509.6845,250_165,ARIMA,71894.3372427524,48558.0
136,2023-05-01,21509.3674,250_165,ARIMA,61415.92658509505,51334.0
137,2023-06-01,21509.3526,250_165,ARIMA,85823.0045910555,57321.0
138,2023-07-01,21509.3519,250_165,ARIMA,71346.73336019741,43424.0
139,2023-08-01,21509.3519,250_165,ARIMA,,43345.0
140,2023-09-01,21509.3519,250_165,ARIMA,,43345.0
141,2023-10-01,21509.3519,250_165,ARIMA,,47260.0
142,2023-11-01,21509.3519,250_165,ARIMA,,60919.0
143,2023-12-01,21509.3519,250_165,ARIMA,,43578.0
144,2023-01-01,497090.4608,250_310,Seasonal Naive Forecaster,182222.07932614823,354587.0
145,2023-02-01,357653.7738,250_310,Seasonal Naive Forecaster,210454.73319187443,393009.0
146,2023-03-01,742523.6509,250_310,Seasonal Naive Forecaster,168508.59034033061,519049.0
147,2023-04-01,299952.3618,250_310,Seasonal Naive Forecaster,218007.09583283874,535490.0
148,2023-05-01,425150.3464,250_310,Seasonal Naive Forecaster,229656.41761772186,408393.0
149,2023-06-01,546067.285,250_310,Seasonal Naive Forecaster,1108604.9006633768,521029.0
150,2023-07-01,476545.2023,250_310,Seasonal Naive Forecaster,201632.07090723145,330669.0
151,2023-08-01,138693.0793,250_310,Seasonal Naive Forecaster,,317266.0
152,2023-09-01,451415.7313,250_310,Seasonal Naive Forecaster,,531251.0
153,2023-10-01,1343923.1379,250_310,Seasonal Naive Forecaster,,1250166.0
154,2023-11-01,743611.6223,250_310,Seasonal Naive Forecaster,,658167.0
155,2023-12-01,444982.0903,250_310,Seasonal Naive Forecaster,,249998.0
