,ds,yhat1,yhat1 5.0%,yhat1 95.0%,ID,y,BUDGET_AMOUNT
99,2023-04-01,-304906.0625,-383940.0625,-304906.0625,220_310,-965.6730769230767,261010.0
100,2023-05-01,-229562.484375,-229562.484375,-173079.984375,220_310,76550.80442804431,
101,2023-06-01,-389591.15625,-389591.15625,-389591.15625,220_310,-1226.7559020372141,281.0
102,2023-07-01,-199499.265625,-203368.453125,-36595.21875,220_310,134507.95531738253,
103,2023-08-01,-119029.53125,-210230.359375,-75060.5625,220_310,,
104,2023-09-01,-223670.34375,-226032.234375,-162268.6875,220_310,,276058.0
105,2023-10-01,-152033.0,-235096.546875,-105576.625,220_310,,
106,2023-11-01,-213487.65625,-269745.28125,-119255.3125,220_310,,309389.0
107,2023-12-01,-230688.265625,-403636.09375,-230688.265625,220_310,,35473.0
108,2023-01-01,4886842.0,3722500.5,5739448.5,240_155,4129765.0700000003,5216550.0
109,2023-02-01,4932317.0,4040284.5,5819674.0,240_155,5235253.750000001,5333064.0
110,2023-03-01,5721976.0,5251244.0,6313804.0,240_155,5939778.53,7183387.0
111,2023-04-01,5959067.5,4541577.5,6874468.0,240_155,5453369.36,9731791.0
112,2023-05-01,5779928.5,4666968.0,6628586.0,240_155,12676724.600000001,10834189.0
113,2023-06-01,5794761.0,5094426.0,6913628.0,240_155,15166230.92,12518042.0
114,2023-07-01,5583855.0,4972258.0,6561077.0,240_155,7945616.329999999,8322015.0
115,2023-08-01,5432048.0,4677373.0,5860324.5,240_155,,5446687.0
116,2023-09-01,4754478.5,4265675.0,5316663.0,240_155,,5373043.0
117,2023-10-01,4821296.0,3877985.5,5929743.0,240_155,,5376636.0
118,2023-11-01,4125242.0,3607170.0,4776000.0,240_155,,5295121.0
119,2023-12-01,4178420.5,3399672.5,4910741.0,240_155,,5313648.0
120,2023-01-01,5563213.0,4707146.5,7443546.0,250_155,2447080.5799999996,5207904.0
121,2023-02-01,5849475.5,5014779.0,6664368.0,250_155,2383992.34,5919467.0
122,2023-03-01,5758300.0,4446711.5,7169636.5,250_155,3940945.1599999997,5597480.0
123,2023-04-01,5977845.0,4373305.0,7951805.0,250_155,3402514.8000000003,7539094.0
124,2023-05-01,8243358.5,6272003.5,9821876.0,250_155,5102570.96,7872216.0
125,2023-06-01,7811844.5,5466906.5,9747633.0,250_155,7775198.390000001,9566028.0
126,2023-07-01,5660391.0,4497017.0,7115925.5,250_155,7465892.709999999,5706559.0
127,2023-08-01,7698176.0,6166284.0,8916384.0,250_155,,5356667.0
128,2023-09-01,9411364.0,7330876.5,11328995.0,250_155,,11681144.0
129,2023-10-01,12582765.0,10829388.0,15447916.0,250_155,,19007432.0
130,2023-11-01,10917120.0,8721132.0,12508537.0,250_155,,15204628.0
131,2023-12-01,5480948.5,3006618.5,7532146.0,250_155,,8479907.0
132,2023-01-01,-14900.2890625,-32761.421875,-574.2890625,250_165,-2676.4388415322846,44682.0
133,2023-02-01,-4031.5390625,-13045.609375,-4031.5390625,250_165,-26077.655298870814,43345.0
134,2023-03-01,-2940.2734375,-31348.9921875,5735.296875,250_165,4612.897547683964,43345.0
135,2023-04-01,21966.4375,3327.953125,27531.21875,250_165,71894.3372427524,48558.0
136,2023-05-01,-3887.8203125,-15287.203125,-3887.8203125,250_165,61415.926585095025,51334.0
137,2023-06-01,26220.609375,15404.671875,45861.3125,250_165,85823.0045910555,57321.0
138,2023-07-01,-11966.734375,-35780.359375,-3974.2578125,250_165,71346.73336019741,43424.0
139,2023-08-01,22321.90625,1319.546875,31342.859375,250_165,,43345.0
140,2023-09-01,8096.90625,-6096.984375,8096.90625,250_165,,43345.0
141,2023-10-01,38256.234375,27044.109375,76798.375,250_165,,47260.0
142,2023-11-01,3689.8125,-22835.296875,31843.6875,250_165,,60919.0
143,2023-12-01,12201.390625,-56293.875,54176.640625,250_165,,43578.0
144,2023-01-01,433506.125,304755.4375,568749.6875,250_310,182222.0793261482,354587.0
145,2023-02-01,364975.90625,265723.375,543378.25,250_310,210454.73319187443,393009.0
146,2023-03-01,433814.65625,290553.25,707691.4375,250_310,168508.59034033064,519049.0
147,2023-04-01,420461.21875,371237.125,528492.5,250_310,218007.09583283876,535490.0
148,2023-05-01,388529.25,342434.875,548008.75,250_310,229656.41761772183,408393.0
149,2023-06-01,566994.9375,502071.875,819557.1875,250_310,1108604.9006633763,521029.0
150,2023-07-01,371969.75,261911.578125,499615.21875,250_310,201632.07090723145,330669.0
151,2023-08-01,467780.5,270844.75,704939.875,250_310,,317266.0
152,2023-09-01,438512.5625,334183.96875,701760.4375,250_310,,531251.0
153,2023-10-01,1464197.25,1159173.0,1940866.5,250_310,,1250166.0
154,2023-11-01,730850.6875,580503.3125,978957.875,250_310,,658167.0
155,2023-12-01,360571.96875,285967.21875,493044.59375,250_310,,249998.0
156,2023-01-01,1885.072021484375,1343.662841796875,3178.491455078125,260_155,2914.9999999999995,2800.0
157,2023-02-01,790.2652587890625,-739.635986328125,2554.49267578125,260_155,3338.99,2800.0
158,2023-03-01,2911.2783203125,2471.439453125,3641.763916015625,260_155,6141.579999999999,2800.0
159,2023-04-01,2826.510498046875,2294.57763671875,3372.609375,260_155,3216.7200000000003,2800.0
160,2023-05-01,3669.4921875,3061.76708984375,4358.12353515625,260_155,4063.1,2800.0
161,2023-06-01,1882.4705810546875,-76.1339111328125,4048.005859375,260_155,2607.61,2800.0
162,2023-07-01,1905.89111328125,1701.70947265625,2779.00390625,260_155,2526.11,2800.0
163,2023-08-01,2829.100341796875,2147.099609375,4110.673828125,260_155,,2800.0
164,2023-09-01,3702.168701171875,2241.283935546875,5764.291015625,260_155,,2800.0
165,2023-10-01,3925.0546875,1958.21923828125,6008.05859375,260_155,,2800.0
166,2023-11-01,3979.640625,2670.202880859375,5549.603515625,260_155,,2800.0
167,2023-12-01,8502.298828125,5074.2763671875,10355.138671875,260_155,,2800.0
